,scheduling_time,delta
0,5.111232217865005,0.3707388253301412
1,5.136612882633699,0.14053600450696951
2,5.039562205323008,0.3099094749879063
3,4.888451124292694,0.2823710666692937
4,5.320086999093632,0.28445545109458453
5,5.614491233709425,0.2756253955218788
6,5.967052567335125,0.34469887956397616
7,5.3828715076926565,0.2650683704597569
8,4.917180946273721,0.2222911341666777
9,5.0941128102105,0.29134380478192723
10,4.901759267733212,0.2283810803323979
11,5.336075000476429,0.4072795631170065
12,5.310586756945071,0.3306946729939741
13,5.044533052065419,0.25801281251913555
14,4.992659331682939,0.1598035608372977
15,5.276635427017879,0.19509583418195545
16,4.91533745549117,0.2024606479615347
17,5.028683906394029,0.3597147569164313
18,5.086741696737293,0.22991484148101768
19,5.371161117975584,0.3235655740094219
20,5.192620230693504,0.43729153167833623
21,5.201830277977732,0.1005060200854429
22,5.148816514524672,0.3470545327645604
23,5.118490558082848,0.2965200116044232
24,4.5966710318684365,0.14156433850051128
25,5.097171688378288,0.24390389901686846
26,5.344942652691635,0.3555884299719503
27,5.509357717316362,0.32852115619338373
28,5.4514416329231,0.25493944792565876
29,5.126657693891373,0.2413384054834904
30,4.801318190506548,0.2990679036685037
31,5.254195218297351,0.3105149269097081
32,4.955669014753698,0.37454896899048706
33,5.201383913283904,0.2549852294888766
34,5.671165913761133,0.23834799580753951
35,5.208022655331642,0.40139801543879317
36,5.37713125026049,0.19497189884641397
37,5.186459848823638,0.4061532415416744
38,5.1904906931692025,0.2094319874721913
39,5.055533006056777,0.17882073311860627
40,4.8626523436333855,0.11855134535011846
41,5.387710128064149,0.2849385379160762
42,5.269360546395336,0.34327322277702704
43,5.503415437355113,0.2619400617117792
44,5.206910668033302,0.28572539943453457
45,5.0094327239270156,0.34271361305705994
46,5.085214374509595,0.25050180722219917
47,5.09528430967812,0.1230773353388725
48,5.263602035513559,0.36125592470298906
49,5.062341593692038,0.37884428381746005
50,4.950614527469994,0.24625421639205208
51,4.887644531684238,0.15508014262164121
52,5.2900038630523145,0.34162496640989326
53,4.996822007840558,0.2813090828413989
54,5.601503040540684,0.35056764344164265
55,5.351845912401518,0.2534523966218323
56,6.69660595,0.40255174130070875
57,6.324666746,0.10285238732038565
58,6.263244858,0.4854662246339574
59,6.252423642,0.40647437314852936
60,6.207178481,0.32733346654258977
61,6.157624397,0.4299899087729944
62,6.08323353,0.28839355383144194
63,6.00213993,0.37784610350012593
64,6.010000676,0.1862240562382862
65,6.1145999280000005,0.16717154222880512
66,5.967828415,0.28580123741388574
67,5.959716822,0.2972406818965843
68,5.899559172,0.31862762587897503
69,5.851198492,0.3345137917709289
70,5.942209616,0.2566030140012212
71,5.939739078,0.27384637481249186
72,5.8873707280000005,0.3747760585879015
73,5.832195441,0.27769673247864274
74,5.80824184,0.2798040070828688
75,5.837614776,0.24034888758670636
76,5.754849729,0.2763676325341837
77,5.74999882,0.20710112436287348
78,5.835628864,0.2572668406756689
79,5.752558294,0.25826730402576764
80,5.820893728,0.2612414369778559
81,5.757109005,0.22326859855394127
82,5.7548014290000005,0.24055305840649205
83,5.7385559,0.2031520798707075
