timestamp,vmId,cpu_est,ram_est,cpu_real,ram_real,cpu_hard_est,ram_hard_est,numberRunningCloudlets
200,6,0.6,12288.0,0.6,0.0,0.6,12288.0,50
220,6,0.5573593958293755,12279.31661735789,0.6,21.0,0.5473889421644216,12277.286222480234,51
240,6,0.6,12288.0,0.6,14.0,0.6,12288.0,50
260,6,0.6,12288.0,0.6,7.0,0.6,12288.0,50
280,6,0.6,12288.0,0.6,15.0,0.6,12288.0,50
300,6,0.5960563496987216,12280.956069438122,0.6,14.0,0.5959454534377961,12280.75799265599,51
320,6,0.6,12288.0,0.6136945262891871,16.0,0.6,12288.0,50
340,6,0.5362463984563252,12260.0167061443,0.6244040845621899,25.0,0.301109,12228.901468938866,99
360,6,0.5973908776635084,12275.163379392548,0.6166226389116182,8.0,0.5973303991252442,12274.865602049946,54
380,6,0.5189933636181936,12275.565004278826,0.6091329253822311,8.0,0.30161,12250.004368465474,75
400,6,0.5991250407524612,12283.954749878918,0.642537550756951,8.0,0.5991036106939756,12283.855671039615,51
420,6,0.5989715160527129,12277.737073563883,0.615337699827163,20.0,0.5989483945102552,12277.509672724582,54
440,6,0.5947623144486084,12271.428624873535,0.6368405024534569,20.0,0.594639194537954,12271.0664165522,59
460,6,0.5439858292542064,12272.332162774324,0.615116256524234,20.0,0.308245,12246.673980383284,75
480,6,0.598971506415571,12277.736978752631,0.6505546197284405,20.0,0.5989483945102552,12277.509672724582,54
500,6,0.6489715018984938,12277.736934313143,0.6091340200171227,20.0,0.5989483945102552,12277.509672724582,54
520,6,0.6466363087266428,12271.65305418466,0.6524406205502382,20.0,0.5965630720138045,12271.308226377529,59
540,6,0.648971493571728,12277.736852393542,0.6794571491960901,20.0,0.5989483945102552,12277.509672724582,54
560,6,0.5869382830932366,12265.52793131714,0.6119306985279029,20.0,0.202871,12241.004956001629,99
580,6,0.6063569298617584,12266.161676488678,0.617743683555701,35.0,0.13536415998861606,12233.573041979887,86
600,6,0.5862515034842344,12252.066852055896,0.64994580358716,52.0,0.12019024090652475,12225.5958290967,131
620,6,0.5973081658009655,12251.311015892012,0.6090002534165314,66.0,0.12976577053870664,12223.12067828575,131
640,6,0.5130085171554623,12250.661222876128,0.6560498662083311,52.0,0.12582299596039148,12227.804395555995,131
660,6,0.6465262679840617,12261.429370155254,0.6751550113050154,52.0,0.5964641794728216,12260.964772360265,75
680,6,0.6022587822991746,12251.48756314002,0.6084053538415563,66.0,0.10040360096344936,12224.934662741538,131
700,6,0.5998183267832348,12251.357137168956,0.6087095263882565,66.0,0.11916152741377128,12225.463583858174,131
720,6,0.5270291148711036,12243.92100773786,0.6732642710157744,93.0,0.13013299951336688,12217.14784951266,150
740,6,0.524060224108814,12244.1638853263,0.6000016192829398,78.0,0.12913253616326814,12221.79166375135,150
760,6,0.4634741535761633,12236.015039795604,0.6468014803564114,78.0,0.12615840321117988,12210.420085951702,171
780,6,0.5018364593339568,12234.741615166606,0.5949166028990556,90.0,0.15592779794243172,12208.977012572665,171
800,6,0.49176571023785187,12223.934055003305,0.5780434492394797,103.0,0.13634473848812412,12201.769059060807,219
820,6,0.5771734418410756,12230.133160670031,0.6062300474573152,98.0,0.376857,12229.395465422724,150
